,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
TECHM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,247372.077750841,147.372077750841,177.665609076052,100,6530.4371676879,42.0620763467713,402 days 00:00:00,9,8,1,3031.35808460612,87.5,54.6257366345123,-15.8887702807194,17.5557167173672,-15.8887702807194,139 days 13:42:51.428571430,357 days 00:00:00,6.58878416609575,18042.5899582793,-69.7226269619896,0.578460962714743,0.000684399047017798,-18.9525756054472
ADANIPOWER,01-JAN-2016,16-FEB-2022,1445 days 00:00:00,100000,247142.048588158,147.142048588158,272.79411764706,100,8650.64919368401,67.6027062933968,634 days 00:00:00,13,12,1,32075.9455845128,75,40.7930174563591,-42.8055399211469,21.0695423271769,-24.4288903592102,77 days 08:00:00,200 days 08:00:00,2.03667675948077,9588.84191697047,-40.2491976778926,0.379824696597407,0.0141971488362488,-18.6649246631536
TATAPOWER,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,247026.870619763,147.026870619763,235.532994923855,100,7733.64234700847,72.7268974155963,845 days 00:00:00,12,11,1,17810.9897333331,90.9090909090909,38.4049875311721,-57.8484577336778,18.7951842734232,-57.8484577336778,75 days 14:24:00,590 days 00:00:00,2.36321160767351,11746.8982624027,-60.7772776259507,0.333982738630321,0.00185142629229236,-18.9053299044411
CROMPTON,27-MAY-2016,16-FEB-2022,1420 days 00:00:00,100000,241210.661755647,141.210661755647,200.830502076254,100,7692.61280901276,35.0231998625193,509 days 00:00:00,10,9,1,-9603.5239129563,100,26.6105380388268,2.03169673348477,10.956863120327,,119 days 08:00:00,,inf,16757.131740956,-66.4236853301962,0.725188396998508,0.000391491253222721,-18.9373747487834
SHREECEM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,239968.049200865,139.968049200865,118.880314137506,100,8853.04725719029,36.8968563969503,483 days 00:00:00,9,8,1,-56827.48432521,75,65.6970269399099,-5.71628985014559,22.8558717052903,-3.10171592574237,151 days 12:00:00,228 days 00:00:00,17.2581806143777,24599.4416907594,-70.7751498929975,0.63490857440458,0.000267885887906434,-18.9569615747798
KOTAKBANK,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,239180.774650612,139.180774650612,151.639738741836,100,11335.4611900756,36.4989881468633,457 days 00:00:00,11,10,1,-48247.1852142338,100,24.3018981202229,0.924509522070031,11.4418054218295,,139 days 00:00:00,,inf,18742.7959864846,-75.7823867346611,0.639158660374143,0.00120893843868158,-18.9756360388861
CUB,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,238557.279650554,138.557279650554,72.3415400733371,100,12540.7250753021,53.3851503374923,519 days 00:00:00,12,11,1,-94471.478901223,81.8181818181818,34.9171924355777,-20.869173208009,18.2858889838959,-11.3142011708108,74 days 21:20:00,244 days 00:00:00,4.30501741748647,21184.432595616,-66.050796064191,0.435538073657344,0.00124915472572282,-18.9353830261423
GODREJCP,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,237037.852080504,137.037852080504,85.5929361797257,100,9344.13174326754,55.164755707055,685 days 00:00:00,9,8,1,-82316.4314569697,87.5,50.2045747574041,-18.1566524704463,22.214645456813,-18.1566524704463,126 days 17:08:34.285714286,482 days 00:00:00,5.97362302380154,27419.2854421842,-69.384006475066,0.418057714010198,0.00168600438948545,-18.952116155899
JSWENERGY,01-JAN-2016,28-JUL-2021,1379 days 00:00:00,100000,236448.94916004,136.44894916004,192.498557414888,100,5395.07342017866,58.8806922722555,798 days 00:00:00,7,7,0,0,71.4285714285714,108.206424900809,-25.1237032334761,33.2031674551689,-17.9457814979174,55 days 09:36:00,511 days 12:00:00,4.23891083680083,19492.7070228629,-53.7239636362035,0.434447821715962,0.00421977348474454,-18.8509785693271
HEXAWARE,01-JAN-2016,30-OCT-2020,1196 days 00:00:00,100000,236404.876257137,136.404876257137,94.1443298969073,100,8360.80396272955,57.6061999269218,571 days 00:00:00,10,9,1,633.231651126553,88.8888888888889,32.2446722745376,-8.35933061033226,12.9016225787163,-8.35933061033226,108 days 18:00:00,259 days 00:00:00,9.04255233513404,15085.7382895568,-55.3482437619442,0.521248064318336,0.00474125990996988,-18.8665491465334
GRASIM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,236027.502462672,136.027502462672,128.42545285648,100,8115.54913147987,69.3346938100323,954 days 00:00:00,11,10,1,45921.2023725569,70,33.8878514120955,-28.1117524092943,16.7496539732475,-12.4001831335217,39 days 20:34:17.142857142,319 days 16:00:00,2.3127211580066,9010.63000901152,-63.2891990878464,0.330797199728806,0.00157120316457807,-18.9205129119228
ULTRACEMCO,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,233625.39308275,133.62539308275,154.210339943343,100,5410.7030846452,37.6560870059181,365 days 00:00:00,7,6,1,-31517.727108513,100,38.1579586418282,0.374117146358846,18.7191601948107,,230 days 08:00:00,,inf,27523.8533652105,-75.3988390560846,0.601063969295754,0.00103197069206525,-18.9743024670792
DABUR,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,233506.482302887,133.506482302887,103.274240231548,100,4116.20139035709,24.8113233168309,288 days 00:00:00,6,5,1,33937.3062963483,100,23.1054104738155,7.71413656519526,15.0284106353926,,125 days 04:48:00,,inf,19913.8352013077,-89.8619402429411,0.911628356542996,0.000433623320742482,-19.012634947891
TORNTPHARM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,230177.111710521,130.177111710521,77.6286429102711,100,8291.82345577368,29.2286129788016,492 days 00:00:00,10,9,1,-27631.9912196586,88.8888888888889,36.4476979840993,-4.66668414560917,13.711259920636,-4.66668414560917,142 days 15:00:00,148 days 00:00:00,25.8617219489824,17534.34477002,-72.1328118288224,0.759393932646936,0.00124592956152056,-18.9623456872949
ALKEM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,227767.583249284,127.767583249284,123.817443949172,100,7752.99882878312,28.171802375624,511 days 00:00:00,10,9,1,-30558.3420360314,88.8888888888889,35.3437810737873,-1.03583928946978,13.2089368971568,-1.03583928946978,154 days 18:00:00,87 days 00:00:00,108.675171006014,17591.7694761462,-81.7707679837407,0.776919694145948,0.00102036084598134,-18.9936336484138
INDIGO,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,227605.380066094,127.605380066094,61.5951468234773,100,10095.5453392341,54.6503320720768,486 days 00:00:00,14,13,1,-18108.6817013886,76.9230769230769,29.0799537658687,-20.1012649700266,14.6326670783872,-13.4107584144844,59 days 04:48:00,253 days 08:00:00,3.48772239353105,11208.7739821141,-54.594237531241,0.400113785975907,0.00274502384591265,-18.858481625189
BHARTIARTL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,226029.878625865,126.029878625865,111.982378854626,100,9324.77312633817,47.4445160696197,527 days 00:00:00,12,11,1,-2122.91500065636,90.9090909090909,18.1438169247106,-2.08776887614733,8.93611679161801,-2.08776887614733,82 days 07:12:00,542 days 00:00:00,38.4427290603828,11650.2539660474,-63.7122825225872,0.456596114196795,0.00207416148169301,-18.9228218700287
LT,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,225168.961112799,125.168961112799,116.493885766809,100,6840.68356693986,55.1408383764773,545 days 00:00:00,9,8,1,36763.1037921494,87.5,37.0767190381349,-32.7836490953739,16.4928960468286,-32.7836490953739,132 days 20:34:17.142857144,361 days 00:00:00,2.32433273375706,11050.7321650812,-75.8947909931071,0.390842752395838,0.00154311817386775,-18.9759350310571
ENDURANCE,19-OCT-2016,16-FEB-2022,1323 days 00:00:00,100000,222882.474220008,122.882474220008,118.457257690524,100,11550.3946655922,61.188376148628,774 days 00:00:00,13,12,1,-49737.0000294424,83.3333333333333,45.3728089832077,-30.122583104384,17.6912187746232,-25.0032931527555,73 days 16:48:00,219 days 12:00:00,2.59511114799668,14384.9561874542,-61.8156810451614,0.404439117891896,0.00168412844273207,-18.9119100709109
RAMCOCEM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,216311.124945733,116.311124945734,120.972293483838,100,7120.37208178934,47.7533583537032,643 days 00:00:00,9,8,1,-28037.8999331084,87.5,24.9336676366102,-9.53175515735863,15.43628879942,-9.53175515735863,128 days 03:25:42.857142856,291 days 00:00:00,8.51453148270473,18043.6281098552,-70.4997898910587,0.426861522728683,0.00062191579749612,-18.9556652073659
MARUTI,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,213182.31895364,113.18231895364,85.0371887463628,100,5142.84226829152,59.2014197885573,882 days 00:00:00,7,6,1,20742.2554464522,83.3333333333333,57.7502464867212,-19.8194245911464,20.6487688439091,-19.8194245911464,92 days 04:48:00,726 days 00:00:00,2.94937269094638,15406.677251198,-68.9906876272178,0.337205835172626,0.0021218648660621,-18.94913809763
SIEMENS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,211681.764916606,111.681764916606,99.085353178399,100,3914.8817117475,41.2157085862577,859 days 00:00:00,6,5,1,13832.0840837247,60,58.5329826730477,-20.6024579941041,43.7051775236744,-17.6710511790449,205 days 00:00:00,366 days 12:00:00,2.89071060096728,19569.9361665762,-73.4028013384729,0.479416361589115,0.000695482643395957,-18.967059156909
NATCOPHARM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,209988.932674276,109.988932674276,52.8886190145735,100,9297.00370377393,54.0957055535073,864 days 00:00:00,11,10,1,-41702.6865559866,80,36.6879021676578,-41.1532886136022,21.4525772650718,-24.4482435814774,90 days 15:00:00,270 days 12:00:00,2.48052581295303,15169.1619230263,-63.9177398610974,0.360999073210884,0.00309479439730584,-18.9243696413573
MFSL,26-FEB-2016,16-FEB-2022,1479 days 00:00:00,100000,208438.403673269,108.438403673269,158.972791195354,100,8277.56553518362,57.4213859687834,895 days 00:00:00,10,9,1,-38223.9969767812,88.8888888888889,59.8046771382528,-21.4259504093028,16.6652818924141,-21.4259504093028,72 days 12:00:00,642 days 00:00:00,5.24705530931448,16295.82229445,-51.4068930649944,0.346083942536425,0.00530678539954289,-18.8284398651671
JUBILANT,01-JAN-2016,03-FEB-2021,1261 days 00:00:00,100000,204241.280176051,104.241280176051,144.744063954182,100,8274.51883835168,77.4234560834399,739 days 00:00:00,11,10,1,14848.6329380718,60,51.1768549068627,-41.2694957515594,24.5408551929889,-13.176606552895,67 days 08:00:00,190 days 12:00:00,1.84236951595202,8939.26472379789,-47.4649965125374,0.296580437519255,0.00570804269518795,-18.7815025202289
GSPL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,203679.735991838,103.679735991838,105.344585091422,100,8432.87519942913,41.3269279029744,417 days 00:00:00,11,10,1,-29446.2503804478,80,23.5405641087071,-11.4081979788302,13.1231689084082,-5.90176962751254,71 days 06:00:00,343 days 12:00:00,7.26452717480126,13312.5986372286,-68.3453129095557,0.451399471889243,0.000355369084711012,-18.9461529535617
TVSMOTOR,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,200825.822819111,100.825822819111,132.025117739404,100,8077.18050346512,66.3594021566364,1030 days 00:00:00,10,9,1,-20411.6475346967,66.6666666666667,53.7761769034051,-13.8998016413415,20.4885311710158,-8.34728579728533,69 days 16:00:00,314 days 00:00:00,3.7975287245553,13470.830039312,-64.6465503008058,0.275063478685194,0.00171448098826399,-18.9277519194658
FEDERALBNK,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,199556.663562281,99.5566635622814,74.8902546093067,100,7238.90719406365,69.8397136471253,1073 days 00:00:00,9,8,1,1618.66425567196,75,28.342032861855,-18.1634121782669,16.3737569381126,-9.45682630429062,166 days 16:00:00,225 days 12:00:00,3.37864983127596,12242.2499133262,-53.5321861452562,0.258777157792498,0.00330288248464198,-18.8489739845518
HDFC,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,199473.751165792,99.4737511657919,87.8382136755527,100,6199.57477359452,39.8326846687798,239 days 00:00:00,8,7,1,-27038.7788335395,100,26.5527047439186,1.73658152959919,12.7619944286431,,172 days 13:42:51.428571430,,inf,18073.2185713331,-72.2413894048883,0.453424748095588,0.00119142054289372,-18.9625659932698
MARICO,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,194506.467051653,94.5064670516534,120.206911732336,100,1804.02014168882,39.4122840206836,299 days 00:00:00,3,2,1,11297.5010050068,100,43.5568757940056,27.7871017841086,35.6719887890571,,634 days 12:00:00,,inf,41604.4830233233,-88.1279114377927,0.440152999084548,0.000311563192588028,-19.0088226351887
STRTECH,29-JUN-2016,28-OCT-2020,1073 days 00:00:00,100000,192080.710490028,92.0807104900278,72.5199543899665,100,11471.0717920105,84.5834857909501,681 days 00:00:00,11,10,1,26214.87512255,90,46.1730452704124,-63.1716809779674,19.0345680358551,-63.1716809779674,30 days 10:40:00,606 days 00:00:00,1.25981773607359,6586.5835367478,-42.5438711066846,0.293940375802234,0.0114993856996687,-18.7063877857433
ICICIGI,27-SEP-2017,16-FEB-2022,1088 days 00:00:00,100000,188985.69759787,88.9856975978698,88.9459776864356,100,6240.60750351723,42.2934562469446,232 days 00:00:00,8,7,1,-51509.4953629981,100,38.8544668961399,2.93481793622488,13.9707134343527,,128 days 06:51:25.714285714,,inf,20070.7418515526,-65.053777938803,0.562837032196069,0.00216877358953316,-18.9303301736673
BHARATFORG,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,183854.213816664,83.854213816664,62.6788329390557,100,4628.70222388711,72.3365195923276,828 days 00:00:00,6,5,1,-23964.4694473196,80,85.6973396210794,-30.7463042334983,34.666317412958,-30.7463042334983,163 days 00:00:00,681 days 00:00:00,2.89530844134159,21563.7366527967,-57.088262550794,0.217994461149702,0.00353410680036145,-18.8790506680586
HINDPETRO,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,183446.819876446,83.4468198764464,60.5533596837939,100,11430.6679884803,66.5178862204943,1106 days 00:00:00,14,13,1,-12265.3279905079,84.6153846153846,27.0717093553446,-33.6043989613794,13.0364970549013,-27.3308301939828,51 days 04:21:49.090909090,402 days 12:00:00,1.80815904843541,7362.47291284264,-52.6634723397779,0.236135393514765,0.00334028395516287,-18.8399898015988
IPCALAB,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,182628.519774937,82.6285197749374,32.2443755893841,100,16300.6434639245,63.4293838862559,469 days 00:00:00,15,14,1,-285282.69466488,85.7142857142857,52.9823043318243,-23.2136810903073,17.4959541340361,-13.0486667027714,89 days 04:00:00,135 days 12:00:00,15.0579031109577,26279.372459987,-53.8730733393171,0.245673408789698,0.00258993900999749,-18.8516433782239
AUBANK,10-JUL-2017,16-FEB-2022,1143 days 00:00:00,100000,180978.333240053,80.978333240053,135.659558755653,100,6040.23244641739,67.7743398465647,359 days 00:00:00,9,8,1,8783.45679884552,87.5,41.1489003826848,-37.4996182805429,16.113352116729,-37.4996182805429,113 days 00:00:00,103 days 00:00:00,2.10285035723403,9024.35955515094,-51.8950767061607,0.307731151278524,0.00198800158989525,-18.8328410867439
PEL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,180742.425732974,80.7424257329735,124.782178217821,100,16329.309665956,80.240337562516,856 days 00:00:00,18,17,1,-37277.5008034545,82.3529411764706,29.8816187410609,-47.3280552223478,12.8625940031578,-23.4019254523663,40 days 10:17:08.571428571,241 days 08:00:00,1.68198231385344,6942.34861978988,-49.5639209952561,0.190611886817843,0.00498058350488839,-18.8074012938683
AXISBANK,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,179980.748627723,79.9807486277226,77.1615914647701,100,3223.72550968886,63.1562955760817,672 days 00:00:00,5,4,1,41207.513838556,50,51.6687887484322,-12.0725675725437,29.5885032729537,-7.61076181991116,132 days 00:00:00,442 days 12:00:00,2.63188546916281,9693.30869729166,-58.4191211156709,0.240320431075878,0.00285176318248792,-18.889111017222
FORTIS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,175988.225232768,75.9882252327676,44.0755735492575,100,4543.77487051154,49.647266313933,964 days 00:00:00,9,8,1,-12477.9393665222,75,46.0089913133105,-25.4486435644991,17.967171497416,-13.9220361231578,69 days 04:00:00,457 days 12:00:00,4.20624905414353,11058.2705749112,-57.7289885743777,0.293231874152688,0.00283724840404447,-18.8836282176757
PFIZER,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,175186.022123243,75.1860221232431,85.3585887189822,100,8239.02455544945,29.3410788837618,503 days 00:00:00,13,12,1,-32885.4089311883,75,24.1338064331809,-13.8478643313764,11.5528415146979,-7.36088286409904,75 days 18:39:59.999999999,187 days 08:00:00,5.3047754796524,9005.95258786929,-82.9441440992329,0.491883207896733,0.00122615049420407,-18.9964785563161
INDHOTEL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,174951.840093802,74.9518400938017,70.0705687007061,100,7018.15036139602,60.1152368758003,487 days 00:00:00,11,10,1,-9459.0936913671,80,65.4260527562483,-37.0481348796252,16.4318414881592,-21.0652003926291,125 days 00:00:00,187 days 12:00:00,2.34043944303461,8441.09337851688,-56.605614731199,0.23946648159154,0.0032760718050606,-18.8747042289478
ACC,1-Jan-16,16-FEB-2022,1518 days 00:00:00,100000,174290.524859929,74.2905248599286,63.0255159611263,100,6149.64547650939,50.7119108421305,873 days 00:00:00,9,8,1,-20689.2620319717,62.5,42.5683105734775,-7.79694941366965,19.295731319857,-5.26811793870772,77 days 00:00:00,341 days 16:00:00,5.38137139710403,11872.4733614875,-75.3090305529068,0.281816667672743,0.000949913715038786,-18.9736081694155
PETRONET,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,173561.591353947,73.5615913539468,68.3397683397691,100,3328.50205419756,39.0633130962706,569 days 00:00:00,5,4,1,-29553.9058081526,100,34.1193389262658,4.7815261845387,19.9879660310559,,282 days 18:00:00,,inf,25778.8742905249,-75.063431338637,0.362906867533811,0.000369903256474051,-18.9727530452548
TORNTPOWER,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,173259.410289878,73.2594102898777,163.042876901799,100,4282.11657478682,34.3655130540376,556 days 00:00:00,8,7,1,22278.7198594194,85.7142857142857,21.5622199043129,-16.4805563715551,10.5754249921301,-16.4805563715551,164 days 12:00:00,210 days 00:00:00,4.10111752323759,7282.95577577976,-63.7119959777568,0.411124804339217,0.00148950168194572,-18.9223386241659
SBILIFE,03-OCT-2017,16-FEB-2022,1085 days 00:00:00,100000,172958.212922107,72.9582129221067,58.5965656137381,100,4461.4212741187,46.4973208970034,315 days 00:00:00,7,6,1,-16030.8481431852,66.6666666666667,54.4181436915785,-16.1564494082051,28.1065472432755,-14.7258274728992,150 days 06:00:00,171 days 00:00:00,3.3474256629722,14831.5101775487,-70.3073206548128,0.435268675925394,0.000907726956275995,-18.9548936192343
NHPC,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,172652.397527088,72.6523975270879,41.5094339622642,100,6572.57820398016,43.1968975670948,1064 days 00:00:00,10,9,1,-14167.2910238559,77.7777777777778,58.1079114012721,-19.5605669085206,16.6352862906112,-17.0958287256971,145 days 06:51:25.714285714,174 days 00:00:00,2.70653296044603,9646.63206121598,-72.1338305077581,0.324843790867572,0.00266954879652934,-18.9619364320054
UBL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,172583.397527368,72.5833975273681,65.2219985164777,100,6806.21305207603,45.2855627740839,637 days 00:00:00,11,10,1,19815.757052554,80,18.9238810565446,-12.4196361014348,8.25367128233278,-9.54687125565671,82 days 21:00:00,321 days 00:00:00,2.88746468014652,5276.76404748141,-72.6722199770413,0.309619304471535,0.000447793776155325,-18.9640208911377
ABFRL,29-JAN-2016,16-FEB-2022,1499 days 00:00:00,100000,170167.713608885,70.1677136088851,24.4264507422403,100,5781.40133231797,64.0610961365678,419 days 00:00:00,10,9,1,38564.224067685,66.6666666666667,34.2171403601885,-44.3620609493216,16.1056250051734,-15.4493043062717,119 days 12:00:00,164 days 08:00:00,1.40891344226742,3511.49883791112,-54.8275202816223,0.215727494127217,0.00303460744904291,-18.8598324143725
NMDC,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,169869.89686956,69.8698968695602,67.3424657534253,100,8762.13949395587,64.7794769534202,1032 days 00:00:00,12,11,1,-36235.4651953693,81.8181818181818,37.0658251246883,-32.4028686767245,16.340350276193,-25.0512193294628,90 days 18:39:59.999999999,223 days 12:00:00,2.1629152906705,9645.94200590269,-55.44950452984,0.209752022563303,0.00130378533605983,-18.8651645280143
APOLLOTYRE,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,169117.30064425,69.1173006442495,34.6855345911954,100,9689.94522314931,74.5209131811365,952 days 00:00:00,13,12,1,8915.46957835383,83.3333333333333,33.3183209502966,-54.773403324094,14.5483234261173,-30.2271860942719,43 days 12:00:00,379 days 00:00:00,1.47417297716184,5016.81925549131,-57.9306939727451,0.180706571696327,0.00123936973935069,-18.884825885412
SRTRANSFIN,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,168490.668299,68.4906682990001,40.9957260020788,100,3959.3251149847,72.4191580231849,873 days 00:00:00,6,5,1,-323.267873720033,80,42.8193122466757,-31.4093184095835,25.7520778484769,-31.4093184095835,116 days 00:00:00,745 days 00:00:00,2.25328545130963,13762.787234544,-44.2480318069918,0.184553167614554,0.00898956855681787,-18.7335679857861
MRF,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,163621.103324178,63.6211033241779,63.1001068993875,100,7383.62481403702,35.1662648427012,604 days 00:00:00,10,9,1,-59239.75706763,88.8888888888889,25.717441002182,-2.24485321686618,11.0544096031377,-2.24485321686618,75 days 18:00:00,590 days 00:00:00,36.060762377455,13651.2067102009,-80.3310539118754,0.357404752922572,0.0006670673652878,-18.9892692451373
BAJAJ-AUTO,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,158923.092711563,58.9230927115627,42.450357426529,100,3473.43634967193,43.2880645775649,716 days 00:00:00,5,4,1,-26087.7056467816,100,36.7502745067642,3.85015226207536,17.4136778726972,,309 days 18:00:00,,inf,21252.6995895861,-82.1013535906925,0.272195248500488,0.00100895233716032,-18.9941213247965
EICHERMOT,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,157355.873727589,57.3558737275894,55.8041201207772,100,8028.48598214097,61.6541992189488,1101 days 00:00:00,11,10,1,-9602.24956037561,80,34.4066895972989,-29.7173794932604,13.4615276495648,-19.9765635013808,82 days 12:00:00,272 days 00:00:00,1.97099711828011,6695.8123287965,-64.7418400900787,0.186795879084029,0.00121757169683939,-18.9278360207294
AMBUJACEM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,156087.573965069,56.0875739650694,75.3950887430097,100,2538.28014097687,51.7486149584488,861 days 00:00:00,4,3,1,-21961.118672263,100,59.3395958363176,3.642974907899,23.6420240570206,,437 days 00:00:00,,inf,26016.2308791108,-72.3125433751605,0.218362618338866,0.00054960291300785,-18.9624917854512
DRREDDY,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,155873.872374253,55.8738723742535,38.8551116258118,100,5647.80591390807,48.5115526362314,917 days 00:00:00,9,8,1,-26582.4065716641,87.5,36.3807155478383,-35.1605624930056,16.5350344029203,-35.1605624930056,93 days 03:25:42.857142857,477 days 00:00:00,2.85803529196981,10307.0348682397,-75.4599418771605,0.232177767418509,0.00152172670126824,-18.9739799571625
ICICIPRULI,29-SEP-2016,16-FEB-2022,1335 days 00:00:00,100000,155360.015315011,55.3600153150105,68.9631994622752,100,5406.47788408308,54.875283446712,565 days 00:00:00,8,7,1,-17408.6581204789,85.7142857142857,32.6055706431251,-3.35857017732868,10.617753437959,-3.35857017732868,129 days 00:00:00,278 days 00:00:00,15.2922121878888,10395.5247764985,-59.3890292378123,0.233278109760399,0.00344679412788005,-18.8989654675817
CIPLA,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,155060.218980227,55.0602189802269,42.381933318074,100,2742.81157575093,44.307372175981,453 days 00:00:00,5,4,1,-1193.79376966084,75,31.666612161544,-6.09820722334913,18.9375505748986,-6.09820722334913,222 days 08:00:00,610 days 00:00:00,9.57448457053468,14063.503187472,-77.691492419493,0.251050250054332,0.00127200884631325,-18.9813009386438
HDFCAMC,06-AUG-2018,16-FEB-2022,874 days 00:00:00,100000,154051.11927991,54.0511192799102,21.4570885762271,100,11465.6368164776,45.4137895346222,554 days 00:00:00,14,13,1,-73689.9001344309,84.6153846153846,22.8829474931808,-25.2699212510439,11.3955690430204,-15.1034871772452,18 days 08:43:38.181818181,159 days 00:00:00,2.75040283788891,9826.23226264162,-66.558854290139,0.435479564587093,0.000558215771734382,-18.9378023488325
CONCOR,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,151706.417781082,51.7064177810825,35.3003422190202,100,5803.13545398461,54.7887979167986,410 days 00:00:00,9,8,1,-27614.4853409875,87.5,24.1410662983443,-11.5394513269526,10.8688423108525,-11.5394513269526,137 days 06:51:25.714285714,340 days 00:00:00,5.65065489611593,9915.11289025875,-64.3764033211285,0.192387034008385,0.00211854952311184,-18.9258204123672
BEL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,151518.532694437,51.5185326944366,59.1108978971775,100,4782.66914041066,69.2165866625112,1044 days 00:00:00,9,8,1,-5770.67444768964,75,29.9050124314542,-22.1065123275444,16.4791720583643,-19.7643993189841,81 days 00:00:00,434 days 00:00:00,2.26293239640045,7161.15089276578,-56.3358951781661,0.151809291521408,0.00209296102921126,-18.8722165931415
POWERGRID,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,149593.722077409,49.593722077409,39.2198581560284,100,1110.80765929885,36.2026997123257,874 days 00:00:00,2,1,1,-22691.4212727864,100,72.4658562085709,72.4658562085709,72.4658562085709,,1256 days 00:00:00,,inf,72285.1433501954,-77.0551403057248,0.28087772456722,0,-18.9792419293521
M&M,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,149110.701675925,49.1107016759253,36.6036006132749,100,5842.00230226699,72.6584337043249,858 days 00:00:00,9,8,1,-8844.0621222849,75,35.4017573086692,-34.6431989596766,17.1889622223869,-19.475380147041,115 days 16:00:00,348 days 00:00:00,1.96030030034619,7244.34547477627,-67.2999445798797,0.138771150170064,0.00227851516320938,-18.9408409188053
BPCL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,144494.288452151,44.4942884521513,25.2511048613899,100,5812.07575835214,52.6204292161739,1063 days 00:00:00,8,7,1,-46819.5987478591,85.7142857142857,37.3711253278279,-26.6237317309637,17.855315165406,-26.6237317309637,90 days 20:00:00,339 days 00:00:00,2.71870759691245,13044.8410285729,-58.0651724149813,0.175855718569611,0.00249554032928997,-18.885494172691
AJANTPHARM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,144169.770767115,44.1697707671151,52.5320019520261,100,3491.63376854022,57.9274264828838,1206 days 00:00:00,6,5,1,-19296.3058480762,80,75.2826220009961,-46.0254488465458,35.1872078073355,-46.0254488465458,124 days 00:00:00,835 days 00:00:00,1.88897667763724,12693.2153230383,-68.584532231123,0.158725401323911,0.00109505350899538,-18.9466979606174
