Company,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BEL,01-JAN-2016,04-APR-2022,1549 days,100000.0,30209.710847038863,-69.79028915296114,75.46174142480196,100.0,28366.97152064744,76.13622678503542,1067 days,96,96,0,0.0,59.375,12.225908891597522,-27.214224951639583,1.6708386706990133,-5.046583783171258,3 days 00:50:31.578947368,14 days 11:41:32.307692307,0.41770304714489476,-726.9821786766785,-79.05946451386613,-0.32280281072403544,0.0010031010119537238,-18.983579949829625
BHARATFORG,01-JAN-2016,04-APR-2022,1549 days,100000.0,60626.62240060728,-39.37337759939272,59.761180579024106,100.0,46492.68876899424,70.66016303209905,1008 days,106,106,0,0.0,60.37735849056604,12.267518998711763,-43.835303964203234,1.9514842957233354,-3.6688141632055484,2 days 20:37:30,12 days 01:08:34.285714285,0.7243242039085975,-371.4469584848373,-82.91828303120529,-0.15742034572446714,0.001950207450618944,-18.995550588455057
BHEL,01-JAN-2016,04-APR-2022,1549 days,100000.0,20285.698644490316,-79.71430135550969,-52.2513824278067,100.0,24079.538885205882,84.72039457869684,1366 days,89,89,0,0.0,56.17977528089888,22.546108565794864,-49.55105836092361,3.2906434535770566,-7.13572890301386,3 days 14:52:48,16 days 21:32:18.461538461,0.474711005833914,-895.6663073652771,-64.08001626301235,-0.3698382148813764,0.004533213916355014,-18.92336449374493
BPCL,01-JAN-2016,04-APR-2022,1549 days,100000.0,40300.44949081797,-59.69955050918203,27.29342440069611,100.0,34895.660867932835,64.75329415967904,1381 days,94,94,0,0.0,48.93617021276596,8.868546823795393,-26.38131836545361,1.9621941019870244,-3.5447882486626803,3 days 08:20:52.173913043,12 days 12:00:00,0.5229056793794332,-635.1016011615114,-79.35099734678865,-0.2977004338573005,0.001384464439460445,-18.98479911948556
BHARTIARTL,01-JAN-2016,04-APR-2022,1549 days,100000.0,109026.71784315376,9.026717843153762,125.49192364170376,100.0,69895.4570477456,38.837651793640134,454 days,124,124,0,0.0,66.93548387096774,7.438875081919803,-18.546690356208288,1.9144906528967578,-3.4025267805982105,2 days 19:22:24.578313253,11 days 07:36:35.121951219,1.0541903089261024,72.79611163833624,-95.53204394981019,0.05297199064401934,0.0009275352120092427,-19.022556744377262
INFRATEL,01-JAN-2016,17-DEC-2020,1229 days,100000.0,101121.16211278473,1.1211621127847322,-43.41412012644881,100.0,60011.41224301725,50.43843653939836,770 days,115,115,0,0.0,58.26086956521739,12.791233467596008,-17.823979628293138,2.0908684052074293,-2.7152504693531543,2 days 22:34:01.791044776,10 days 04:30:00,1.0079394216185324,9.749235763345041,-64.6376773498279,0.006575726187006501,0.003088871937215715,-18.92719729230558
BIOCON,01-JAN-2016,04-APR-2022,1549 days,100000.0,98783.74465910088,-1.2162553408991226,298.8143202486479,100.0,56654.91726002953,39.66712434580375,923 days,108,108,0,0.0,61.111111111111114,12.778145728952179,-11.767170684324766,1.8563022765800024,-2.786490221861826,2 days 23:16:21.818181818,11 days 07:25:42.857142857,0.9903817522700262,-11.26162352684355,-92.90517872615372,-0.007258786826039107,0.0015998301061889012,-19.017785218225097
BBTC,01-JAN-2016,04-APR-2022,1549 days,100000.0,19645.657545539376,-80.35434245446062,85.5606291222736,100.0,27218.60190719349,82.33745356537689,1344 days,90,90,0,0.0,48.888888888888886,7.404665948415766,-28.874132717351326,1.7942282438938768,-4.784963300609725,3 days 22:54:32.727272727,13 days 00:00:00,0.38917527933129653,-892.8260272717844,-76.80396060879791,-0.3868182191316083,0.00194933314450353,-18.975977744373665
BOSCHLTD,01-JAN-2016,04-APR-2022,1549 days,100000.0,30441.32217941257,-69.55867782058743,-22.59376741618089,100.0,28952.93733005043,73.18768278027453,1379 days,92,92,0,0.0,44.565217391304344,8.747619956623105,-28.203707266353607,1.8244078287581258,-3.571212879135249,4 days 06:26:20.487804878,12 days 22:35:17.647058823,0.39253092321827826,-756.0725850063851,-95.89633732535913,-0.3339513920419216,0.0004983827086822199,-19.022160302436657
BRITANNIA,01-JAN-2016,04-APR-2022,1549 days,100000.0,52033.444537200645,-47.966555462799356,118.9927672113587,100.0,34426.021645530156,53.615621242082376,1360 days,83,83,0,0.0,43.373493975903614,9.437191679261423,-14.931115154573401,1.6443884001717288,-2.5456529097435436,2 days 10:40:00,11 days 19:54:53.617021276,0.5047362491689428,-577.9103067807156,-117.44971897166754,-0.2661052946098147,0.0008617526580055028,-19.049904409711207
CESC,01-JAN-2016,04-APR-2022,1549 days,100000.0,34726.53260887772,-65.27346739112228,-84.7521499661803,100.0,34997.77695322109,71.713527419694,1103 days,93,93,0,0.0,50.53763440860215,9.456101593841504,-35.08576721789833,1.396665381856294,-3.4131184799397785,2 days 16:20:25.531914893,13 days 10:26:05.217391304,0.42893380546450244,-701.8652407647554,-89.94803288020022,-0.3076054520740582,0.0007664594993897142,-19.011067821074743
CADILAHC,01-JAN-2016,04-MAR-2022,1529 days,100000.0,49225.75581263207,-50.77424418736792,3.982566877066551,100.0,49488.888378991425,65.54527525671398,1156 days,100,99,1,-17220.99698460068,57.57575757575758,18.692371853569245,-30.253346361825507,2.104590424160978,-3.496982459901742,3 days 06:44:12.631578947,12 days 13:08:34.285714285,0.7781508370778399,-338.92168891684105,-89.19847411747753,-0.23747466297951095,0.001922480060336499,-19.010307145174142
CANBK,01-JAN-2016,04-APR-2022,1549 days,100000.0,15600.284209419915,-84.39971579058009,1.2589173310954438,100.0,26044.182115530915,86.35208724741051,1523 days,94,94,0,0.0,55.319148936170215,7.361792973739442,-58.23224592429075,1.9547656377218379,-5.80137367211138,3 days 01:50:46.153846153,14 days 05:42:51.428571428,0.3588590927213505,-897.8693169210653,-68.60927183768715,-0.41056849524220335,0.001365345620955908,-18.94339366626463
CASTROLIND,01-JAN-2016,04-APR-2022,1549 days,100000.0,20827.402958298757,-79.17259704170124,-53.86672609761565,100.0,24835.85448815344,79.87690535430072,1530 days,98,97,1,-4068.139020160761,48.45360824742268,5.504664743466789,-23.909726449962907,1.5206544438398384,-3.9538406183019426,2 days 04:35:44.680851063,14 days 03:50:24,0.30081829476663324,-774.2727631086645,-100.46740802501797,-0.3869091111876999,0.0008568490418893045,-19.02919602242979
CHOLAFIN,01-JAN-2016,04-APR-2022,1549 days,100000.0,68779.7810519876,-31.220218948012405,447.5929549902155,100.0,37413.54959145439,70.24769122050756,1380 days,97,96,1,-344.32877889150404,68.75,10.209550224650117,-46.02574509202631,1.905618627998424,-4.6194994251035615,3 days 13:49:05.454545454,11 days 05:35:59.999999999,0.7331826693498357,-321.6238559283428,-66.32566179596057,-0.1201638730285144,0.0037147595302636253,-18.93470624254959
CIPLA,01-JAN-2016,04-APR-2022,1549 days,100000.0,54689.88058759925,-45.31011941240075,56.83222705424544,100.0,37009.55630162617,59.51292598168223,1528 days,108,108,0,0.0,49.074074074074076,6.350967962398496,-20.16757198639597,1.5607405566407315,-2.4812396087072903,2 days 19:28:18.113207547,10 days 13:05:27.272727272,0.5377856152462609,-419.53814270741435,-112.07479897515424,-0.22273471053964222,8.037864775249427e-05,-19.04455606100099
CUB,01-JAN-2016,04-APR-2022,1549 days,100000.0,58213.2392405428,-41.786760759457195,78.75851231011019,100.0,54631.23616244032,59.7999194800813,885 days,106,106,0,0.0,65.09433962264151,9.045674430252475,-42.23076253425411,1.5414844210264411,-3.8463788922208684,3 days 03:07:49.565217391,12 days 03:53:30.810810810,0.706660508750573,-394.2147241458222,-94.03318135110297,-0.20016752113383382,0.0005373443111570118,-19.01941202399102
COALINDIA,01-JAN-2016,04-APR-2022,1549 days,100000.0,22272.650086347217,-77.72734991365279,-43.795838946265434,100.0,27106.034674084978,82.10516959332824,1513 days,92,92,0,0.0,46.73913043478261,5.785937584097304,-24.050833687058937,1.4037925257116055,-4.018088027723605,2 days 21:12:33.488372093,14 days 18:36:44.081632653,0.2961699332438009,-844.8624990614435,-95.83468474256009,-0.36299926339740257,0.0001660310917311708,-19.021806434953195
COLPAL,01-JAN-2016,04-APR-2022,1549 days,100000.0,43609.0401239812,-56.3909598760188,59.94369081136484,100.0,34973.10237604316,59.68554306112659,1486 days,100,100,0,0.0,40.0,2.966462198130374,-13.758288132719592,0.8347055029046085,-1.878895550736094,3 days 01:12:00,10 days 02:00:00,0.28107542240637967,-563.9095987601888,-152.65785067037748,-0.2975969595987139,0.0,-19.072249868638536
CONCOR,01-JAN-2016,04-APR-2022,1549 days,100000.0,50567.09300273611,-49.43290699726389,53.27809798270904,100.0,35739.43756799067,68.48758420237233,1442 days,99,99,0,0.0,55.55555555555556,6.556474693095589,-34.62235725835587,1.5822071201999428,-3.2213573087973097,3 days 13:05:27.272727272,11 days 21:49:05.454545454,0.5361776668958179,-499.3222929016556,-92.39344103726765,-0.216724510879686,0.0015462954938780789,-19.016282008027943
COROMANDEL,01-JAN-2016,04-APR-2022,1549 days,100000.0,94930.99352397384,-5.06900647602616,325.0592261121371,100.0,55052.22196992046,43.98985591426649,1032 days,99,99,0,0.0,56.56565656565656,11.434346325579059,-11.226460649269294,1.7363585508017203,-2.277185704100309,3 days 11:34:17.142857142,9 days 22:53:01.395348837,0.953856315152433,-51.202085616426075,-107.67109308470405,-0.02769489686674854,0.00023144240791425573,-19.039895088518204
